;Adriano Jose Ferruzzi;Alessandra da Silva Carneiro;Alessandro Emilio Teruzzi;Alex Sandro Rodrigues Ancioto;Alexandre José Romagnoli;Alexandre Machado Rosa;Ana Carolina Vila Ramos dos Santos;Ana Claudia Folha da Cruz;Ana Márcia Lima Costa;Ana Paula Rodrigues Magalhães de Barros;André Luiz Favareto;Andréa Antonieta Cotrim Silva;Ariane Macedo Melo Ferraz;Beatriz Ferraz Diniz;Bruno Secco Faquin;Bruno Sérgio do Amaral;Bárbara Beatriz Freitag;Carolina Aparecida de Freitas Dias;Caroline Inês Lisevski;Claudia Almerinda de Souza Oliveira;Danilo Marcondes de Alcantara;Davi Munhoz Benati;Elisangela Lizardo de Oliveira;Emanoel Fabiano Menezes Pereira;Eudes Müller D'Oliveira Santos;Eufrida Pereira da Silva;Everaldo Paulo da Silva;Fabio Oliveira Teixeira;Felipe Alexandre Cardoso Pazinatto;Felipe Rodrigues Martinez Basile;Fernando Cesar Mendonca;Fernando Luis Rossi;Fernando da Silva Pardo;Filipe Mantovani Ferreira;Flávia Roberta Torezin;Hadassa Viviane Rodrigues;Idalise Bernardo Bagé;Igor Calebe Zadi;Igor Polezi Munhoz;Ingrid Anelise Lopes;Irando Alves Martins Neto;Jair Garcia dos Santos;Jairo Filho Sousa de Almeida Ferreira;Jeferson Antunes;José Geraldo Basante;José Roberto Campanele;Juliana de Souza Topan;Junot de Oliveira Maia;Júlio Samuel Sávio Bernardo;Kamili Oliveira Santana;Krícia Helena Barreto;Leandro Módolo Paschoalotte;Lincon Lopes;Lucas Rodrigues dos Santos;Luciana Cavalcanti Maia Santos;Luciano Henrique Trindade;Marcelo Cizaurre Guirau;Maria Cristina Stello Leite;Moacir Silva de Castro;Nelio Fernando dos Reis;Nilton Pereira dos Santos;Patricia Horta;Patricia de Aquino Prudente;Patrícia Cristiane Santana da Silva;Paulo Eduardo Pissardini;Pedro Ernesto Schiavinatti Tavares;Priscila Hanako Ishy de Magalhães;Regivaldo Sousa Ferreira;Reinaldo da Silva Caraça;Renato Cristiano Montanher;Renato Marcon Pugliese;Ricardo Normanha Ribeiro de Almeida;Rita Roberta Marioto;Roberta Caetano Fleira;Robson Barbosa;Rogério Aparecido Campanari Xavier;Rogério Aparecido Pereira;Rogério Deitali Bruno;Romario Araujo Pinheiro;Silene Jucelino de Lima;Tatiana Aparecida Picosque;Teresa Helena Buscato Martins;Thiago Pedro Donadon Homem;Thiago Silva Broze;Valdir Donizete dos Santos Junior;Vanessa Regina Ferreira da Silva;Whisner Fraga Mamede;Wilian Ramalho Feitosa;William Rosseti
Adriano Jose Ferruzzi;1,0;0,0;0,0;0,0199;0,0271;0,0;0,0201;0,0309;0,0;0,0049;0,03;0,0;0,0;0,0;0,0;0,005;0,0524;0,0081;0,0;0,0241;0,0;0,0;0,0224;0,0271;0,0;0,0;0,0;0,0307;0,0142;0,0048;0,0141;0,0;0,0136;0,0;0,0;0,0464;0,0;0,0251;0,0115;0,0161;0,0071;0,017;0,0;0,0441;0,0;0,0;0,0;0,0557;0,0402;0,0048;0,0;0,0131;0,0;0,0228;0,032;0,0167;0,0;0,0088;0,0;0,0135;0,0;0,0;0,0;0,0152;0,0097;0,0;0,0;0,4244;0,0;0,017;0,0062;0,0;0,0;0,0083;0,0052;0,0;0,0;0,0;0,0;0,0;0,015;0,0353;0,0155;0,0188;0,0078;0,0;0,0;0,044;0,0124
Alessandra da Silva Carneiro;0,0;1,0;0,0;0,0;0,0;0,029;0,0091;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,028;0,0;0,0;0,0;0,0;0,0129;0,0;0,0;0,005;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0119;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0061;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alessandro Emilio Teruzzi;0,0;0,0;1,0;0,0265;0,0181;0,0;0,0;0,0;0,1278;0,0657;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1507;0,0;0,0;0,2226;0,0163;0,0378;0,0;0,0;0,008;0,0904;0,0;0,0501;0,0;0,0779;0,0;0,0;0,0;0,0378;0,0452;0,0;0,0221;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,044;0,0235;0,0616;0,009;0,0;0,0;0,0;0,0;0,0086;0,0;0,0;0,0;0,0;0,0452;0,1817;0,0148;0,0;0,1218;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0235;0,0;0,0;0,0209;0,0;0,0;0,0056;0,0165
Alex Sandro Rodrigues Ancioto;0,0199;0,0;0,0265;1,0;0,0182;0,0;0,0;0,0207;0,0214;0,0331;0,0201;0,0;0,0;0,0;0,0;0,0135;0,0352;0,0054;0,0165;0,0;0,0;0,0135;0,015;0,0485;0,0;0,0;0,056;0,0082;0,0095;0,0129;0,0095;0,0322;0,0455;0,0;0,0252;0,0;0,0224;0,0;0,0103;0,0;0,019;0,0341;0,0;0,0259;0,0;0,0;0,0;0,0;0,027;0,0;0,0;0,0;0,0;0,0153;0,0303;0,0056;0,0074;0,0118;0,031;0,0182;0,0;0,0;0,0;0,0;0,0086;0,0;0,0;0,0407;0,0;0,0228;0,0332;0,0075;0,0;0,0111;0,0;0,0873;0,0;0,0;0,0;0,0;0,0;0,0355;0,0207;0,0;0,0;0,0;0,0;0,0112;0,0083
Alexandre José Romagnoli;0,0271;0,0;0,0181;0,0182;1,0;0,0293;0,023;0,0283;0,0146;0,0045;0,0;0,0;0,0238;0,0;0,0;0,0046;0,064;0,0409;0,0;0,0;0,0;0,0;0,0205;0,0248;0,0404;0,0;0,0;0,0056;0,0585;0,0353;0,071;0,0192;0,0;0,0;0,0172;0,0;0,0038;0,0;0,0141;0,0;0,0;0,0544;0,0;0,1036;0,0;0,0;0,0;0,0191;0,0368;0,0089;0,0;0,012;0,0298;0,0;0,0449;0,0536;0,0;0,0;0,0141;0,0372;0,0686;0,0;0,0325;0,0;0,0295;0,0;0,0;0,0416;0,0;0,0;0,0284;0,0408;0,0;0,0114;0,0384;0,0;0,0;0,0;0,0;0,0;0,0137;0,0404;0,0;0,0215;0,0072;0,0;0,0;0,0633;0,0454
Alexandre Machado Rosa;0,0;0,029;0,0;0,0;0,0293;1,0;0,0217;0,0;0,0345;0,0;0,0;0,0;0,0;0,0;0,0;0,0108;0,0;0,0088;0,0;0,0;0,0;0,0;0,0;0,0146;0,0;0,0;0,0;0,0132;0,0306;0,0104;0,0152;0,0;0,0293;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0153;0,0549;0,0;0,0595;0,0;0,0;0,0;0,0;0,0145;0,0;0,0;0,0141;0,0;0,0;0,0081;0,0181;0,0237;0,0;0,0664;0,0292;0,0;0,0;0,0;0,0;0,007;0,0;0,0;0,0;0,0;0,0183;0,0668;0,0;0,0;0,009;0,0113;0,0;0,0;0,0852;0,0;0,0;0,0323;0,0381;0,0222;0,0101;0,0169;0,0;0,0;0,0271;0,0
Ana Carolina Vila Ramos dos Santos;0,0201;0,0091;0,0;0,0;0,023;0,0217;1,0;0,0315;0,0217;0,0067;0,0;0,0089;0,0;0,0;0,0;0,0068;0,0059;0,011;0,0;0,0164;0,0162;0,0;0,0152;0,0;0,0;0,0;0,0;0,0125;0,0048;0,0196;0,0;0,0122;0,0138;0,0;0,0;0,0;0,0113;0,0;0,0;0,0;0,0193;0,023;0,0;0,0431;0,0;0,0;0,0;0,0236;0,0273;0,0033;0,0;0,0089;0,0;0,0;0,0256;0,0227;0,0187;0,018;0,0209;0,0184;0,0203;0,0134;0,008;0,0051;0,0022;0,0;0,0;0,0051;0,0;0,0115;0,0883;0,0151;0,0112;0,0028;0,0321;0,0;0,0;0,0268;0,0;0,0134;0,2034;0,012;0,014;0,0192;0,0;0,0;0,0;0,0341;0,0168
Ana Claudia Folha da Cruz;0,0309;0,0;0,0;0,0207;0,0283;0,0;0,0315;1,0;0,0;0,0103;0,0;0,0;0,0;0,0;0,0;0,0;0,0912;0,0085;0,0;0,0;0,0;0,0;0,0701;0,0472;0,0;0,0;0,0;0,0;0,0148;0,0302;0,0294;0,0125;0,0283;0,0;0,0;0,0;0,0;0,0;0,008;0,0;0,0;0,0177;0,0;0,0403;0,0;0,0;0,0;0,0145;0,0419;0,0;0,0;0,0137;0,0453;0,0;0,0315;0,0175;0,0;0,0184;0,0;0,0071;0,0313;0,0;0,0;0,0;0,0;0,0;0,0;0,0316;0,0;0,0177;0,0129;0,0697;0,0;0,0087;0,0219;0,0;0,0;0,0;0,0;0,0;0,0;0,0369;0,0108;0,0;0,0;0,0;0,0;0,0087;0,0259
Ana Márcia Lima Costa;0,0;0,0;0,1278;0,0214;0,0146;0,0345;0,0217;0,0;1,0;0,0851;0,0;0,0;0,0;0,0;0,0;0,0108;0,0566;0,0351;0,0;0,0;0,0515;0,0;0,0;0,1073;0,0;0,0;0,0901;0,0397;0,0;0,0;0,0;0,0065;0,0878;0,0;0,0405;0,0;0,045;0,0;0,0083;0,0519;0,0459;0,1098;0,0;0,0893;0,0;0,0;0,0;0,015;0,0;0,0;0,0;0,0141;0,0;0,0;0,0203;0,0542;0,0237;0,0191;0,083;0,0219;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0163;0,0;0,0366;0,1738;0,024;0,0357;0,0269;0,034;0,0;0,0;0,0;0,0;0,0;0,0647;0,0191;0,0;0,0101;0,0;0,0566;0,0;0,009;0,0
Ana Paula Rodrigues Magalhães de Barros;0,0049;0,0;0,0657;0,0331;0,0045;0,0;0,0067;0,0103;0,0851;1,0;0,0199;0,0;0,0;0,0;0,0;0,0067;0,0174;0,0513;0,0164;0,0;0,0476;0,0;0,0745;0,0677;0,0073;0,0;0,1111;0,0245;0,0094;0,0449;0,0094;0,006;0,1128;0,0;0,0625;0,0;0,1667;0,0251;0,0128;0,0374;0,0897;0,0621;0,0236;0,0532;0,0;0,0;0,0;0,0417;0,0089;0,0452;0,0157;0,0261;0,0361;0,0152;0,0138;0,0056;0,0622;0,0587;0,0973;0,0315;0,0299;0,0;0,0079;0,0202;0,0365;0,0;0,0;0,0;0,0;0,0677;0,1113;0,0444;0,0661;0,1106;0,0105;0,0;0,0;0,0525;0,0;0,0;0,0;0,047;0,024;0,0094;0,0156;0,0961;0,0;0,0139;0,0082
