;Adriano Jose Ferruzzi;Alessandra da Silva Carneiro;Alessandro Emilio Teruzzi;Alex Sandro Rodrigues Ancioto;Alexandre José Romagnoli;Alexandre Machado Rosa;Ana Carolina Vila Ramos dos Santos;Ana Claudia Folha da Cruz;Ana Márcia Lima Costa;Ana Paula Rodrigues Magalhães de Barros;André Luiz Favareto;Andréa Antonieta Cotrim Silva;Ariane Macedo Melo Ferraz;Beatriz Ferraz Diniz;Bruno Secco Faquin;Bruno Sérgio do Amaral;Bárbara Beatriz Freitag;Carolina Aparecida de Freitas Dias;Caroline Inês Lisevski;Claudia Almerinda de Souza Oliveira;Danilo Marcondes de Alcantara;Davi Munhoz Benati;Elisangela Lizardo de Oliveira;Emanoel Fabiano Menezes Pereira;Eudes Müller D'Oliveira Santos;Eufrida Pereira da Silva;Everaldo Paulo da Silva;Fabio Oliveira Teixeira;Felipe Alexandre Cardoso Pazinatto;Felipe Rodrigues Martinez Basile;Fernando Cesar Mendonca;Fernando Luis Rossi;Fernando da Silva Pardo;Filipe Mantovani Ferreira;Flávia Roberta Torezin;Hadassa Viviane Rodrigues;Idalise Bernardo Bagé;Igor Calebe Zadi;Igor Polezi Munhoz;Ingrid Anelise Lopes;Irando Alves Martins Neto;Jair Garcia dos Santos;Jairo Filho Sousa de Almeida Ferreira;Jeferson Antunes;José Geraldo Basante;José Roberto Campanele;Juliana de Souza Topan;Junot de Oliveira Maia;Júlio Samuel Sávio Bernardo;Kamili Oliveira Santana;Krícia Helena Barreto;Leandro Módolo Paschoalotte;Lincon Lopes;Lucas Rodrigues dos Santos;Luciana Cavalcanti Maia Santos;Luciano Henrique Trindade;Marcelo Cizaurre Guirau;Maria Cristina Stello Leite;Moacir Silva de Castro;Nelio Fernando dos Reis;Nilton Pereira dos Santos;Patricia Horta;Patricia de Aquino Prudente;Patrícia Cristiane Santana da Silva;Paulo Eduardo Pissardini;Pedro Ernesto Schiavinatti Tavares;Priscila Hanako Ishy de Magalhães;Regivaldo Sousa Ferreira;Reinaldo da Silva Caraça;Renato Cristiano Montanher;Renato Marcon Pugliese;Ricardo Normanha Ribeiro de Almeida;Rita Roberta Marioto;Roberta Caetano Fleira;Robson Barbosa;Rogério Aparecido Campanari Xavier;Rogério Aparecido Pereira;Rogério Deitali Bruno;Romario Araujo Pinheiro;Silene Jucelino de Lima;Tatiana Aparecida Picosque;Teresa Helena Buscato Martins;Thiago Pedro Donadon Homem;Thiago Silva Broze;Valdir Donizete dos Santos Junior;Vanessa Regina Ferreira da Silva;Whisner Fraga Mamede;Wilian Ramalho Feitosa;William Rosseti
Adriano Jose Ferruzzi;1,0;0,0;0,0;0,0361;0,0478;0,0;0,0269;0,0568;0,0;0,0087;0,0568;0,0;0,0;0,0;0,0;0,0091;0,0947;0,0146;0,0;0,045;0,0;0,0;0,0414;0,0456;0,0;0,0;0,0;0,0431;0,027;0,0088;0,0263;0,0;0,024;0,0;0,0;0,0878;0,0;0,0459;0,0203;0,03;0,0131;0,031;0,0;0,0738;0,0;0,0;0,0;0,091;0,0706;0,0086;0,0;0,0225;0,0;0,0427;0,0529;0,0305;0,0;0,0159;0,0;0,0243;0,0;0,0;0,0;0,027;0,0172;0,0;0,0;0,5139;0,0;0,0307;0,0109;0,0;0,0;0,014;0,0095;0,0;0,0;0,0;0,0;0,0;0,0284;0,0649;0,0274;0,0338;0,0145;0,0;0,0;0,0637;0,0226
Alessandra da Silva Carneiro;0,0;1,0;0,0;0,0;0,0;0,0527;0,0156;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,051;0,0;0,0;0,0;0,0;0,0228;0,0;0,0;0,008;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0196;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0106;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alessandro Emilio Teruzzi;0,0;0,0;1,0;0,0488;0,0323;0,0;0,0;0,0;0,1633;0,1172;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,185;0,0;0,0;0,4;0,0291;0,073;0,0;0,0;0,0136;0,1622;0,0;0,0953;0,0;0,1373;0,0;0,0;0,0;0,0707;0,0838;0,0;0,0374;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0168;0,0;0,0816;0,043;0,115;0,0164;0,0;0,0;0,0;0,0;0,0154;0,0;0,0;0,0;0,0;0,083;0,2349;0,0257;0,0;0,2075;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0439;0,0;0,0;0,0392;0,0;0,0;0,0096;0,0306
Alex Sandro Rodrigues Ancioto;0,0361;0,0;0,0488;1,0;0,0315;0,0;0,0;0,0374;0,0398;0,0572;0,0374;0,0;0,0;0,0;0,0;0,024;0,0624;0,0096;0,0309;0,0;0,0;0,0247;0,0273;0,0802;0,0;0,0;0,0976;0,0142;0,0178;0,0232;0,0174;0,0531;0,0792;0,0;0,0465;0,0;0,0383;0,0;0,0179;0,0;0,0345;0,0613;0,0;0,0426;0,0;0,0;0,0;0,0;0,0465;0,0;0,0;0,0;0,0;0,0282;0,0492;0,01;0,0133;0,021;0,0561;0,032;0,0;0,0;0,0;0,0;0,0151;0,0;0,0;0,0732;0,0;0,0405;0,0573;0,0126;0,0;0,0184;0,0;0,1543;0,0;0,0;0,0;0,0;0,0;0,0642;0,0361;0,0;0,0;0,0;0,0;0,0187;0,0149
Alexandre José Romagnoli;0,0478;0,0;0,0323;0,0315;1,0;0,0527;0,039;0,0495;0,0264;0,0076;0,0;0,0;0,0417;0,0;0,0;0,0079;0,1101;0,07;0,0;0,0;0,0;0,0;0,0361;0,0398;0,0722;0,0;0,0;0,0094;0,1061;0,0614;0,1263;0,0307;0,0;0,0;0,0308;0,0;0,0063;0,0;0,0236;0,0;0,0;0,0946;0,0;0,1569;0,0;0,0;0,0;0,034;0,0615;0,0149;0,0;0,0196;0,0533;0,0;0,0705;0,093;0,0;0,0;0,0248;0,0636;0,1238;0,0;0,0579;0,0;0,0499;0,0;0,0;0,0727;0,0;0,0;0,0474;0,0664;0,0;0,0183;0,0662;0,0;0,0;0,0;0,0;0,0;0,0248;0,0708;0,0;0,0368;0,0127;0,0;0,0;0,1018;0,0789
Alexandre Machado Rosa;0,0;0,0527;0,0;0,0;0,0527;1,0;0,0395;0,0;0,0667;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,0;0,0161;0,0;0,0;0,0;0,0;0,0;0,0252;0,0;0,0;0,0;0,0238;0,0596;0,0194;0,029;0,0;0,053;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0289;0,1026;0,0;0,1017;0,0;0,0;0,0;0,0;0,0259;0,0;0,0;0,0248;0,0;0,0;0,0137;0,0336;0,0444;0,0;0,1252;0,0536;0,0;0,0;0,0;0,0;0,0126;0,0;0,0;0,0;0,0;0,0339;0,1199;0,0;0,0;0,0154;0,0209;0,0;0,0;0,1633;0,0;0,0;0,0626;0,0716;0,0403;0,0186;0,032;0,0;0,0;0,0468;0,0
Ana Carolina Vila Ramos dos Santos;0,0269;0,0156;0,0;0,0;0,039;0,0395;1,0;0,0556;0,0395;0,0113;0,0;0,0163;0,0;0,0;0,0;0,0119;0,0103;0,0191;0,0;0,0294;0,0289;0,0;0,027;0,0;0,0;0,0;0,0;0,0141;0,0088;0,0345;0,0;0,0165;0,0235;0,0;0,0;0,0;0,0142;0,0;0,0;0,0;0,0342;0,0405;0,0;0,0663;0,0;0,0;0,0;0,034;0,0461;0,0056;0,0;0,0147;0,0;0,0;0,0406;0,0398;0,0329;0,0312;0,0278;0,0318;0,0371;0,0242;0,0145;0,0088;0,0037;0,0;0,0;0,0091;0,0;0,0201;0,0852;0,0249;0,0204;0,0046;0,0496;0,0;0,0;0,0484;0,0;0,0242;0,204;0,0212;0,0239;0,0331;0,0;0,0;0,0;0,0485;0,0296
Ana Claudia Folha da Cruz;0,0568;0,0;0,0;0,0374;0,0495;0,0;0,0556;1,0;0,0;0,018;0,0;0,0;0,0;0,0;0,0;0,0;0,1635;0,0151;0,0;0,0;0,0;0,0;0,1286;0,0788;0,0;0,0;0,0;0,0;0,028;0,0547;0,0546;0,0209;0,0498;0,0;0,0;0,0;0,0;0,0;0,014;0,0;0,0;0,0321;0,0;0,0669;0,0;0,0;0,0;0,0269;0,0731;0,0;0,0;0,0233;0,0844;0,0;0,0515;0,0316;0,0;0,033;0,0;0,0126;0,0588;0,0;0,0;0,0;0,0;0,0;0,0;0,0576;0,0;0,0318;0,0225;0,1184;0,0;0,0145;0,0393;0,0;0,0;0,0;0,0;0,0;0,0;0,0673;0,0189;0,0;0,0;0,0;0,0;0,0147;0,0469
Ana Márcia Lima Costa;0,0;0,0;0,1633;0,0398;0,0264;0,0667;0,0395;0,0;1,0;0,1531;0,0;0,0;0,0;0,0;0,0;0,02;0,0696;0,0644;0,0;0,0;0,0976;0,0;0,0;0,1259;0,0;0,0;0,1633;0,0713;0,0;0,0;0,0;0,0111;0,1589;0,0;0,0778;0,0;0,0801;0,0;0,015;0,0992;0,0866;0,2052;0,0;0,1526;0,0;0,0;0,0;0,0287;0,0;0,0;0,0;0,0248;0,0;0,0;0,0343;0,1008;0,0444;0,0351;0,1566;0,0402;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0306;0,0;0,0678;0,2397;0,042;0,069;0,0462;0,0628;0,0;0,0;0,0;0,0;0,0;0,1252;0,0358;0,0;0,0186;0,0;0,1101;0,0;0,0156;0,0
Ana Paula Rodrigues Magalhães de Barros;0,0087;0,0;0,1172;0,0572;0,0076;0,0;0,0113;0,018;0,1531;1,0;0,036;0,0;0,0;0,0;0,0;0,0115;0,03;0,0879;0,0296;0,0;0,084;0,0;0,131;0,1084;0,0131;0,0;0,1875;0,0409;0,0171;0,0724;0,0167;0,0096;0,1901;0,0;0,1117;0,0;0,2574;0,0436;0,0215;0,0664;0,1492;0,108;0,042;0,0847;0,0;0,0;0,0;0,0741;0,0149;0,0759;0,0285;0,0428;0,0645;0,0271;0,0217;0,0097;0,1085;0,1009;0,1708;0,05;0,0539;0,0;0,014;0,0342;0,0616;0,0;0,0;0,0;0,0;0,1168;0,1858;0,0724;0,0991;0,168;0,018;0,0;0,0;0,0938;0,0;0,0;0,0;0,0822;0,0405;0,016;0,0276;0,1738;0,0;0,0224;0,0143
