;Adriano Jose Ferruzzi;Alessandra da Silva Carneiro;Alessandro Emilio Teruzzi;Alex Sandro Rodrigues Ancioto;Alexandre José Romagnoli;Alexandre Machado Rosa;Ana Carolina Vila Ramos dos Santos;Ana Claudia Folha da Cruz;Ana Márcia Lima Costa;Ana Paula Rodrigues Magalhães de Barros;André Luiz Favareto;Andréa Antonieta Cotrim Silva;Ariane Macedo Melo Ferraz;Beatriz Ferraz Diniz;Bruno Secco Faquin;Bruno Sérgio do Amaral;Bárbara Beatriz Freitag;Carolina Aparecida de Freitas Dias;Caroline Inês Lisevski;Claudia Almerinda de Souza Oliveira;Danilo Marcondes de Alcantara;Davi Munhoz Benati;Elisangela Lizardo de Oliveira;Emanoel Fabiano Menezes Pereira;Eudes Müller D'Oliveira Santos;Eufrida Pereira da Silva;Everaldo Paulo da Silva;Fabio Oliveira Teixeira;Felipe Alexandre Cardoso Pazinatto;Felipe Rodrigues Martinez Basile;Fernando Cesar Mendonca;Fernando Luis Rossi;Fernando da Silva Pardo;Filipe Mantovani Ferreira;Flávia Roberta Torezin;Hadassa Viviane Rodrigues;Idalise Bernardo Bagé;Igor Calebe Zadi;Igor Polezi Munhoz;Ingrid Anelise Lopes;Irando Alves Martins Neto;Jair Garcia dos Santos;Jairo Filho Sousa de Almeida Ferreira;Jeferson Antunes;José Geraldo Basante;José Roberto Campanele;Juliana de Souza Topan;Junot de Oliveira Maia;Júlio Samuel Sávio Bernardo;Kamili Oliveira Santana;Krícia Helena Barreto;Leandro Módolo Paschoalotte;Lincon Lopes;Lucas Rodrigues dos Santos;Luciana Cavalcanti Maia Santos;Luciano Henrique Trindade;Marcelo Cizaurre Guirau;Maria Cristina Stello Leite;Moacir Silva de Castro;Nelio Fernando dos Reis;Nilton Pereira dos Santos;Patricia Horta;Patricia de Aquino Prudente;Patrícia Cristiane Santana da Silva;Paulo Eduardo Pissardini;Pedro Ernesto Schiavinatti Tavares;Priscila Hanako Ishy de Magalhães;Regivaldo Sousa Ferreira;Reinaldo da Silva Caraça;Renato Cristiano Montanher;Renato Marcon Pugliese;Ricardo Normanha Ribeiro de Almeida;Rita Roberta Marioto;Roberta Caetano Fleira;Robson Barbosa;Rogério Aparecido Campanari Xavier;Rogério Aparecido Pereira;Rogério Deitali Bruno;Romario Araujo Pinheiro;Silene Jucelino de Lima;Tatiana Aparecida Picosque;Teresa Helena Buscato Martins;Thiago Pedro Donadon Homem;Thiago Silva Broze;Valdir Donizete dos Santos Junior;Vanessa Regina Ferreira da Silva;Whisner Fraga Mamede;Wilian Ramalho Feitosa;William Rosseti
Adriano Jose Ferruzzi;1,000000000000001;0,0;0,0;0,036119682191538494;0,047781848256749665;0,0;0,026851080677052733;0,05677329558036596;0,0;0,008675667038036313;0,05677329558036596;0,0;0,0;0,0;0,0;0,009084154792554902;0,09469095041060556;0,014601652343461677;0,0;0,04504915855996573;0,0;0,0;0,0413802944301184;0,04563991495491527;0,0;0,0;0,0;0,04309804374338373;0,027029495135979433;0,008797351340286598;0,026336315724173668;0,0;0,0240163366652884;0,0;0,0;0,08778086039709793;0,0;0,04590731488048887;0,02034003484657755;0,029971166621518747;0,013085598064755342;0,031004957313857513;0,0;0,07379307685074628;0,0;0,0;0,0;0,09103200337476822;0,07057846732405855;0,008558896343273472;0,0;0,022524579279982866;0,0;0,04273738431706882;0,052857006804927734;0,030474918986821094;0,0;0,015927282752249885;0,0;0,02430589438520291;0,0;0,0;0,0;0,027029495135979433;0,017153502619205917;0,0;0,0;-99,0;0,0;0,030736511072267245;0,010866997704607785;0,0;0,0;0,013964178950619672;0,009493290614465532;0,0;0,0;0,0;0,0;0,0;0,02838664779018298;0,06492274731611955;0,027418134380066683;0,0337868689199743;0,014517167628488536;0,0;0,0;0,06366547966368356;0,022629589542852796
Alessandra da Silva Carneiro;0,0;1,0;0,0;0,0;0,0;0,05270462766947299;0,015609763526361568;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,051031036307982884;0,0;0,0;0,0;0,0;0,022821773229381923;0,0;0,0;0,008043618151097337;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,019641855032959656;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,010597597584982434;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alessandro Emilio Teruzzi;0,0;0,0;0,9999999999999999;0,048795003647426664;0,032274861218395144;0,0;0,0;0,0;0,1632993161855452;0,11720180773462385;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,18496838966221885;0,0;0,0;0,4;0,0291111254869791;0,07302967433402213;0,0;0,0;0,013608276348795434;0,16222142113076257;0,0;0,09534625892455924;0,0;0,13728129459672883;0,0;0,0;0,0;0,07071067811865475;0,08377078165833911;0,0;0,03738335897094201;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,016801384491125455;0,0;0,08164965809277261;0,04303314829119352;0,11504474832710557;0,01641772758257796;0,0;0,0;0,0;0,0;0,015448737310436523;0,0;0,0;0,0;0,0;0,08304547985373996;0,23488808780588138;0,025734250632748937;0,0;0,20751023642374988;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,043852900965351466;0,0;0,0;0,03922322702763681;0,0;0,0;0,009556369651349931;0,03057089202578715
Alex Sandro Rodrigues Ancioto;0,036119682191538494;0,0;0,048795003647426664;1,0000000000000004;0,031497039417435604;0,0;0,0;0,03742405942825599;0,03984095364447979;0,05718862635895969;0,03742405942825599;0,0;0,0;0,0;0,0;0,023952525238265177;0,062418778393235924;0,009625178518638335;0,030860669992418384;0,0;0,0;0,02470831055537004;0,027277236279499045;0,0802269622064587;0,0;0,0;0,09759000729485333;0,014204774743178404;0,017817416127494958;0,02319630002130737;0,01736048321147037;0,053121271525973054;0,07915594835766294;0,0;0,046524210519923545;0,0;0,03827795011754764;-99,0;0,01787710613096452;0,0;0,03450327796711771;0,06131393394849658;0,0;0,04256282653793743;0,0;0,0;0,0;0,0;0,046524210519923545;0,0;0,0;0,0;0,0;0,02817180849095055;0,04918941705157706;0,010044292546128849;0,013280317881493264;0,0209980262782904;0,05613608914238398;0,03204412309097396;0,0;0,0;0,0;0,0;0,015076423868217729;0,0;0,0;0,07324975421315115;0,0;0,04052204492365539;0,05730682550612528;0,012557028534887762;0,0;0,018409932260318625;0,0;0,1543033499620919;0,0;0,0;0,0;0,0;0,0;0,06419407387663695;0,03614720195339099;0,0;0,0;0,0;0,0;0,018652123679751092;0,014917067879033706
Alexandre José Romagnoli;0,047781848256749665;0,0;0,032274861218395144;0,031497039417435604;0,9999999999999998;0,05270462766947299;0,03902440881590392;0,04950737714883372;0,026352313834736494;0,007565344158360032;0,0;0,0;0,04166666666666668;0,0;0,0;0,007921553131555974;0,11009637651263608;0,0700310288835248;0,0;0,0;0,0;0,0;0,036084391824351615;0,039798860707587654;0,07216878364870323;0,0;0,0;0,009395575350035363;0,10606601717798213;0,061371641193221575;0,12631168334802198;0,030744366140525912;0,0;0,0;0,030772872744833188;0,0;0,0063296210442729175;0,0;0,02364918849202011;0,0;0,0;0,09462916232627816;0,0;0,15685055394639805;0,0;0,0;0,0;0,03402069087198859;0,061545745489666376;0,014927035850663305;0,0;0,019641855032959656;0,053300179088902624;0,0;0,07049410585463617;0,09301145060422844;0,0;0,0;0,02475368857441686;0,0635855855098946;0,1237684428720843;0,0;0,05786375623578447;0,0;0,049860585269378185;0,0;0,0;0,07267523746672638;0,0;0,0;0,04738112772368147;0,06644554941850955;0,0;0,018265538405380616;0,0662266178532522;0,0;0,0;0,0;0,0;0,0;0,02475368857441686;0,07076731463403724;0,0;0,03682847818679936;0,012659242088545835;0,0;0,0;0,10178206640217075;0,07893370379638584
Alexandre Machado Rosa;0,0;0,05270462766947299;0,0;0,0;0,05270462766947299;0,9999999999999998;0,039489925183939484;0,0;0,06666666666666665;0,0;0,0;0,0;0,0;0,0;0,0;0,020040120401405057;0,0;0,016106004229598323;0,0;0,0;0,0;0,0;0,0;0,025171009623151504;0,0;0,0;0,0;0,023769134427076417;0,059628479399994376;0,0194074169913194;0,029049644688706338;0,0;0,052981294282601746;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,028867513459481284;0,1025978352085154;0,0;0,10174461594455994;0,0;0,0;0,0;0,0;0,025949964805384095;0,0;0,0;0,024845199749997663;0,0;0,0;0,013718272991856056;0,033614632272640714;0,04444444444444444;0,0;0,12524485821702988;0,0536200737511109;0,0;0,0;0,0;0,0;0,012613841193622013;0,0;0,0;0,0;0,0;0,03390317518104051;0,11986582537134602;0,0;0,0;0,01540285441340871;0,020942695414584774;0,0;0,0;0,1632993161855452;0,0;0,0;0,06262242910851494;0,07161148740394328;0,04032389192727559;0,018633899812498248;0,03202563076101743;0,0;0,0;0,04681645887845222;0,0
Ana Carolina Vila Ramos dos Santos;0,026851080677052733;0,015609763526361568;0,0;0,0;0,03902440881590392;0,039489925183939484;0,999999999999998;0,055641488407465724;0,039489925183939484;0,011336950397523929;0,0;0,016303866268150613;0,0;0,0;0,0;0,011870742829929377;0,0103114704148291;0,019080747061171525;0,0;0,029434052379223197;0,028903665650803996;0,0;0,02703690352179375;0,0;0,0;0,0;0,0;0,014079620103183723;0,008830215713766958;0,03448788502503236;0,0;0,01645413549330812;0,023537557657892522;0,0;0,0;0,0;0,014227759830611805;0,0;0,0;0,0;0,03419927840283847;0,040515808364184266;0,0;0,06629513998006892;0,0;0,0;0,0;0,03398751612897211;0,04611429759107165;0,005592179994681012;0,0;0,014717026189611598;0,0;0,0;0,040630018057594;0,039823179405966594;0,03290827098661624;0,031219527052723132;0,027820744203732862;0,03176179051183031;0,03709432560497715;0,02418254167033372;0,014451832825401998;0,008830215713766958;0,0037358973376367052;0,0;0,0;0,009075546168622167;0,0;0,02008250777095926;-99,0;0,024892783531250524;0,020437977982832194;0,004561931763034667;0,049621528504319126;0,0;0,0;0,04836508334066744;0,0;0,02418254167033372;-99,0;0,02120949209919259;0,02388581213000062;0,033113308926626096;0,0;0,0;0,0;0,048530434535285265;0,029571274812514824
Ana Claudia Folha da Cruz;0,05677329558036596;0,0;0,0;0,03742405942825599;0,04950737714883372;0,0;0,055641488407465724;1,0;0,0;0,017977936632415488;0,0;0,0;0,0;0,0;0,0;0,0;0,16351748504193214;0,015128956621341946;0,0;0,0;0,0;0,0;0,12862393885688161;0,07881348828577764;0,0;0,0;0,0;0,0;0,02800560168056019;0,054690281762322934;0,054574779454381814;0,02087414303617165;0,04976726017934395;0,0;0,0;0,0;0,0;0,0;0,014049711527259569;0,0;0,0;0,032124628310161774;0,0;0,0669006974911935;0,0;0,0;0,0;0,026948402781814772;0,07312724241271307;0,0;0,0;0,02333800140046683;0,08444006618414981;0,0;0,05154429467542567;0,03157544889753364;0,0;0,03300491809922248;0,0;0,012591822252271073;0,058823529411764705;0,0;0,0;0,0;0,0;0,0;0,0;0,057567366250340375;0,0;0,031846487764924096;0,022518867455552247;0,11842361549725033;0,0;0,014468462378586957;0,039344473768231684;0,0;0,0;0,0;0,0;0,0;0,0;0,06726727939963124;0,018938850476964256;0,0;0,0;0,0;0,0;0,014658801886137898;0,04689360772322401
Ana Márcia Lima Costa;0,0;0,0;0,1632993161855452;0,03984095364447979;0,026352313834736494;0,06666666666666665;0,039489925183939484;0,0;0,9999999999999998;0,15311180047019052;0,0;0,0;0,0;0,0;0,0;0,020040120401405057;0,06963106238227913;0,06442401691839329;0,0;0,0;0,0975900072948533;0,0;0,0;0,12585504811575748;0,0;0,0;0,1632993161855452;0,07130740328122925;0,0;0,0;0,0;0,01111111111111111;0,15894388284780525;0,0;0,0778498944161523;0,0;0,08006407690254358;0,0;0,01495706008988526;0,09917694073609293;0,08660254037844385;0,2051956704170308;0,0;0,15261692391683992;0,0;0,0;0,0;0,028688765527462343;0,0;0,0;0,0;0,024845199749997663;0,0;0,0;0,03429568247964014;0,10084389681792215;0,04444444444444444;0,03513641844631532;0,15655607277128736;0,04021505531333318;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,030642570651794775;0,0;0,06780635036208102;0,23973165074269204;0,04202385530875335;0,06900655593423542;0,04620856324022613;0,06282808624375433;0,0;0,0;0,0;0,0;0,0;0,12524485821702988;0,03580574370197164;0,0;0,018633899812498248;0,0;0,11009637651263604;0,0;0,015605486292817407;0,0
Ana Paula Rodrigues Magalhães de Barros;0,008675667038036313;0,0;0,11720180773462385;0,05718862635895969;0,007565344158360032;0,0;0,011336950397523929;0,017977936632415488;0,15311180047019052;0,9999999999999992;0,035955873264830976;0,0;0,0;0,0;0,0;0,011506420936119472;0,029985011240633196;0,08785193777533457;0,02964997266644405;0,0;0,08404977220207886;0,0;0,13103560459023977;0,10839314821087179;0,013103560459023977;0,0;0,18752289237539818;0,040942518387161196;0,017118419700436514;0,07243042360165662;0,01667941275490176;0,009569487529386909;0,19012643809805083;0,0;0,11174753906691856;0,0;0,2574338543181771;0,04361128534721853;0,02146971000096715;0,06643507483037502;0,14917354742965405;0,10799895750269793;0,04202488610103943;0,08470701351134423;0,0;0,0;0,0;0,0741249316661101;0,014899671875589141;0,07588772585482796;0,02853069950072753;0,042796049251091296;0,06451747176156365;0,027066598098038335;0,021660678982848146;0,009650244130138864;0,10845419199971829;0,1008712554448004;0,17079039800794713;0,050028871140891065;0,053933809897246464;0,0;0,014008295367013144;0,03423683940087303;0,061561077960016704;0,0;0,0;0,0;0,0;0,11679696435657132;0,18582283241670391;0,07238641667649752;0,09905360646879093;0,16803306247772754;0,01803697763414557;0,0;0,0;0,09376144618769909;0,0;0,0;0,0;0,08223422828074597;0,04051729299811297;0,016048518469159237;0,02758219867694755;0,17383837384127881;0,0;0,022400475970370183;0,014331855237929004
