Type|Author|Year|Title
artigoEmPeriodico|Claudia Almerinda de Souza Oliveira|2023|APLICAÇÃO DE UMA REDE NEURAL ARTIFICIAL YOLO PARA CONTROLE DE ESTOQUE POR IMAGENS EM UMA REVENDA DE AUTOPEÇAS
artigoEmPeriodico|Claudia Almerinda de Souza Oliveira|2021|PERCEPÇÕESDA APLICAÇÃO DOPROJETO ?EMPODERAMENTO FEMININO ATRAVÉS DA GERAÇÃO DE RENDA PELAS VENDAS?
trabalhoCompletoEmCongresso|Claudia Almerinda de Souza Oliveira|2018|O Proeja no IFSP e uma perspectiva para o Câmpus São Paulo Pirituba
artigoEmPeriodico|Eudes Müller D'Oliveira Santos|2017|Comparative study of thermal calculations of an Otto cycle internal combustion engine with results of experimental tests
trabalhoCompletoEmCongresso|Eudes Müller D'Oliveira Santos|2018|TECHNICAL AND ECONOMIC ANALYSIS OF A COGENERATION PLANT FOR A BRAZILIAN SCENARIO
trabalhoCompletoEmCongresso|Eudes Müller D'Oliveira Santos|2017|Dimensionamento de um Sistema de Alta Temperatura Utilizando Energia Solar e um Sistema Auxiliar para Processos de Pirólise
artigoEmPeriodico|Fernando Cesar Mendonca|2023|Fusões e Aquisições no Setor Bancário: Estudo de Eventos na Década Marcada pela Crise no Sistema Financeiro Internacional (2001 A 2011)
artigoEmPeriodico|Fernando Cesar Mendonca|2021|Acessibilidade e Legislação no Brasil ? Um estudo na CPTM
artigoEmPeriodico|Fernando Cesar Mendonca|2021|Gestão de Documentos e a sua Importância no Gerenciamento de Projetos
artigoEmPeriodico|Fernando Cesar Mendonca|2021|Ferramentas do Marketing Digital como Estratégia de Consolidação de Marca: Um Estudo Sobre C6 Bank
artigoEmPeriodico|Fernando Cesar Mendonca|2021|Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea
trabalhoCompletoEmCongresso|Fernando Cesar Mendonca|2019|A simulação como ferramenta didática para o curso de Engenharia de Produção
trabalhoCompletoEmCongresso|Fernando Cesar Mendonca|2019|Transporte Rodoviário: os principais riscos ocupacionais no cotidiano dos motoristas de caminhão
trabalhoCompletoEmCongresso|Fernando Cesar Mendonca|2018|Filosofia Lean em serviços - uma revisão bibliográfica
trabalhoCompletoEmCongresso|Fernando Cesar Mendonca|2017|ANÁLISE DE ESTOQUE: O CASO DOS PALETES EM UMA EMPRESA DE PAPEL E CELULOSE
trabalhoCompletoEmCongresso|Fernando Cesar Mendonca|2017|METODOLOGIA DE SELEÇÃO DE FORNECEDORES EM UMA MICROEMPRESA DO RAMO COMERCIAL UTILIZANDO O METODO AHP
artigoEmPeriodico|Fernando Luis Rossi|2024|An objective review and perspectives on the permutation flowshop scheduling with no-wait constraint and setup times
artigoEmPeriodico|Fernando Luis Rossi|2024|A two-stage iterated greedy algorithm and a multi-objective constructive heuristic for the mixed no-idle flowshop scheduling problem to minimize makespan subject to total completion time
artigoEmPeriodico|Fernando Luis Rossi|2023|A implantação da gestão de facilities em um Centro de Distribuição: um estudo de caso
artigoEmPeriodico|Fernando Luis Rossi|2022|Beam search-based heuristics for the mixed no-idle flowshop with total flowtime criterion
artigoEmPeriodico|Fernando Luis Rossi|2022|PROJETO CATANDO HISTÓRIAS?INTEGRANDO O CONHECIMENTO SOBRE LOGÍSTICA REVERSA COM A HISTÓRIA DA CIDADE DE SÃO PAULO
artigoEmPeriodico|Fernando Luis Rossi|2022|Economia Circular no Brasil: Estudo de caso em um Centro de Recondicionamento de Computadores
artigoEmPeriodico|Fernando Luis Rossi|2022|RISCO ENERGÉTICO NAS CIDADES: AUMENTANDO A RESILIÊNCIA PELO CONTROLE DAS OPERAÇÕES
artigoEmPeriodico|Fernando Luis Rossi|2022|ECONOMIA CIRCULAR: CONCEITOS E PERSPECTIVAS NA SOCIEDADE CONTEMPORÂNEA
